transaction_id,account_id,customer_id,timestamp,amount_ngn,balance_before_ngn,balance_after_ngn,transaction_type,channel,merchant_category_code,merchant_name,location_lga,location_state,device_id,status,fraud_flag
736fb3c1-1ef3-4c5f-9fa7-f346e165a841,ACC-00039963,CUS-00039963,2024-04-07 09:04:00,30700.0,229238.92600787184,259938.92600787184,credit,pos,5541,Total,Lagos LGA,Lagos,,success,False
093a236b-e8c7-4f6a-b94d-49af723e298a,ACC-00001191,CUS-00001191,2023-07-25 21:45:00,16500.0,432585.1762057843,416085.1762057843,debit,atm,,,Lagos LGA,Lagos,,success,False
a9c32d27-4a1c-48e3-a49d-d4b839ca3019,ACC-00014476,CUS-00014476,2023-03-04 10:13:00,209500.0,62828.092198766644,272328.09219876665,credit,pos,4900,PHEDC,Oyo LGA,Oyo,,success,False
e688319c-68e9-4f86-866e-9ca201c895f9,ACC-00007044,CUS-00007044,2024-11-25 15:10:00,1321000.0,107314.68723897375,0.0,debit,mobile,,,Lagos LGA,Lagos,DEV-2ae90c0d4e814fbf,success,False
001f38d6-53c0-4c2b-a582-d9b846a97ed0,ACC-00009913,CUS-00009913,2024-02-17 15:50:00,18800.0,517464.8945899852,498664.8945899852,debit,mobile,,,Lagos LGA,Lagos,DEV-0c25a2623d274351,success,False
8c4849a4-fe96-4e13-be4d-eddfaa82a1d2,ACC-00000001,CUS-00000001,2023-07-19 09:21:00,7000.0,338620.00081762375,331620.00081762375,debit,mobile,,,Rivers LGA,Rivers,DEV-18cbe0f9e7894174,success,False
db40dadb-ebfe-4f58-b169-7c3a5b6b9ca5,ACC-00000559,CUS-00000559,2024-08-24 11:56:00,15100.0,220573.62887959596,205473.62887959596,debit,atm,,,Benue LGA,Benue,,success,False
e28682df-f607-49ff-bd49-320191e2eae2,ACC-00000085,CUS-00000085,2024-10-22 18:24:00,5500.0,231971.0368871515,237471.0368871515,credit,pos,7523,MegaPlaza Parking,Abuja (FCT) LGA,Abuja (FCT),,success,False
0026765e-8fb8-479a-b538-8d6c9311c044,ACC-00000001,CUS-00000001,2024-12-13 19:54:00,48500.0,394138.77299749845,345638.77299749845,debit,pos,5411,Shoprite,Rivers LGA,Rivers,,success,False
30c7d911-a4b9-4527-88f1-4375faa54188,ACC-00014544,CUS-00014544,2024-07-12 16:11:00,5000.0,60544.97689035511,65544.97689035512,credit,mobile,,,Abuja (FCT) LGA,Abuja (FCT),DEV-8c3054a25ce04c83,success,False
9f1a2b77-c42b-46be-b03c-660f7a5b03b6,ACC-00000002,CUS-00000002,2024-06-25 15:28:00,253800.0,106907.8450677118,0.0,debit,atm,,,Jigawa LGA,Jigawa,,success,False
09460e99-e245-477b-a607-a5fb614d92a1,ACC-00000005,CUS-00000005,2024-01-28 19:43:00,5000.0,482436.84144124563,487436.84144124563,credit,mobile,,,Lagos LGA,Lagos,DEV-76d6543e0d564d2a,success,False
ca4a467b-3997-4350-ab42-34705ab9b489,ACC-00049584,CUS-00049584,2024-07-25 18:26:00,178400.0,574458.8013702695,396058.8013702695,debit,pos,5812,Mama Cass,Benue LGA,Benue,,success,False
f9d1b35e-28e0-43da-a172-351397054100,ACC-00052838,CUS-00052838,2023-10-16 16:16:00,11400.0,396609.77498405543,408009.77498405543,credit,pos,7523,MegaPlaza Parking,Abuja (FCT) LGA,Abuja (FCT),,success,False
68755d2c-6626-4e89-ad0d-579ad29da4a1,ACC-00016682,CUS-00016682,2024-03-08 14:51:00,6200.0,302499.3181652486,308699.3181652486,credit,pos,5812,The Place,Delta LGA,Delta,,success,False
16b0eb3f-0a77-449b-bbe3-c194c3a9f391,ACC-00000351,CUS-00000351,2024-03-14 09:19:00,3500.0,192251.95098196878,195751.95098196878,credit,mobile,,,Oyo LGA,Oyo,DEV-5a1a13636a744e8b,success,False
dfa5ab90-b758-4434-820d-e9ef3136b2b1,ACC-00000128,CUS-00000128,2023-06-07 10:17:00,17800.0,37470.755192087505,19670.755192087505,debit,mobile,,,Katsina LGA,Katsina,DEV-b1bf3b028764457c,success,False
41ead129-a0d6-4dc7-8f3e-645ff1f9d51f,ACC-00002821,CUS-00002821,2023-06-09 18:27:00,500.0,252215.1746836244,251715.1746836244,debit,pos,4900,EKEDC,Niger LGA,Niger,,success,False
532b08e6-974d-4306-999c-ee8050883e91,ACC-00000047,CUS-00000047,2024-03-02 11:57:00,3000.0,1094969.9228933118,1097969.9228933118,credit,mobile,,,Abuja (FCT) LGA,Abuja (FCT),DEV-11813f7a5e49428f,success,False
11ad4be8-08d5-4367-a9d9-4645a9877ecb,ACC-00000008,CUS-00000008,2024-03-21 06:02:00,106300.0,119922.24898177895,13622.248981778946,debit,ussd,,,Katsina LGA,Katsina,,success,False
75cefe5d-77b2-4ccb-8aa5-4bfbef4e05d4,ACC-00000002,CUS-00000002,2023-01-14 20:45:00,14900.0,93984.14882334694,79084.14882334694,debit,mobile,,,Jigawa LGA,Jigawa,DEV-0eaa746bed2441c6,success,False
af6e17d2-2b9b-4d96-a91f-9dd43cbd31dc,ACC-00000003,CUS-00000003,2023-10-14 06:16:00,1300.0,1352092.7633934065,1350792.7633934065,debit,mobile,,,Imo LGA,Imo,DEV-277b1c8b188b44c1,success,False
